dataset,threshold_candidate,scenario,window_size,alphabet_size,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,scoring_mode,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,f1_score_min,num_contexts_mean,transition_density_mean
BATADAL,6.907755,original,4,5,2,2,0.1,negative_log,0.8146341463414635,0.0,0.10256410256410256,0.0,0.5714285714285714,0.0,0.17391304347826086,0.0,0.17391304347826086,437.0,0.013502659614772605
BATADAL,6.0,original,4,5,2,2,0.1,negative_log,0.7463414634146341,0.0,0.07547169811320754,0.0,0.5714285714285714,0.0,0.13333333333333333,0.0,0.13333333333333333,437.0,0.013502659614772605
BATADAL,5.0,original,4,5,2,2,0.1,negative_log,0.2780487804878049,0.0,0.04516129032258064,0.0,1.0,0.0,0.08641975308641975,0.0,0.08641975308641975,437.0,0.013502659614772605
BATADAL,4.0,original,4,5,2,2,0.1,negative_log,0.2634146341463415,0.0,0.04430379746835443,0.0,1.0,0.0,0.08484848484848485,0.0,0.08484848484848485,437.0,0.013502659614772605
BATADAL,7.5,original,4,5,2,2,0.1,negative_log,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
BATADAL,8.0,original,4,5,2,2,0.1,negative_log,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
BATADAL,9.0,original,4,5,2,2,0.1,negative_log,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
BATADAL,10.0,original,4,5,2,2,0.1,negative_log,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
SKAB,0.1053605,original,5,5,2,1,0.1,negative_log,0.5154887266463414,0.11189895322549295,0.4232731763739544,0.0717053061436201,0.9273311897106109,0.14833458785342934,0.5803733548371814,0.09405047322233624,0.4095139607032058,431.0,0.013312386893514805
SKAB,0.05,original,5,5,2,1,0.1,negative_log,0.4650937387660822,0.11468399909765763,0.3991096669580674,0.0688393865340563,0.9273311897106109,0.14833458785342934,0.5563578374207178,0.08866708231090213,0.4090909090909091,431.0,0.013312386893514805
SKAB,0.5,original,5,5,2,1,0.1,negative_log,0.5440960154841541,0.09933834768007542,0.4261585477903514,0.10840345518902732,0.6219197246765598,0.1630070175921503,0.4955597319269032,0.09173624953871082,0.3541666666666667,431.0,0.013312386893514805
SKAB,0.35,original,5,5,2,1,0.1,negative_log,0.5143979357752536,0.0500345531245031,0.391038035798614,0.05140883929642378,0.6422167572743912,0.17450732667918506,0.4817685613808837,0.07702808088923133,0.35263835263835264,431.0,0.013312386893514805
SKAB,0.2,original,5,5,2,1,0.1,negative_log,0.5035408851621486,0.0636526828715091,0.3848212280531712,0.0590608651500348,0.6422167572743912,0.17450732667918506,0.4771949621934724,0.0823356995294343,0.3374384236453202,431.0,0.013312386893514805
SKAB,0.7,original,5,5,2,1,0.1,negative_log,0.5470461992987905,0.08904212041145271,0.4200961949175437,0.10318613369007111,0.560978496138705,0.1801327961266414,0.4677883001245153,0.08822063988022978,0.3383356070941337,431.0,0.013312386893514805
SKAB,0.9,original,5,5,2,1,0.1,negative_log,0.5448915816484877,0.06930108854874724,0.3988434108429886,0.0868794573625561,0.4728863204335766,0.20142600777412198,0.4170557689700051,0.08903692924224543,0.32599118942731276,431.0,0.013312386893514805
SKAB,1.2,original,5,5,2,1,0.1,negative_log,0.5523197945494651,0.0582644157146032,0.38452370622924514,0.08131230114525433,0.3824964249346154,0.1951097621731707,0.3652688433016886,0.09636200386567434,0.2932098765432099,431.0,0.013312386893514805
SKAB,1.5,original,5,5,2,1,0.1,negative_log,0.5746299381601364,0.05284646726133214,0.3988910650915322,0.09400447769636966,0.33036214514818224,0.1918199273593677,0.3393177516910215,0.11023055301859178,0.2636986301369863,431.0,0.013312386893514805
